产品ID,产品名称,产品类别,子类别,单价,成本,供应商,库存量,安全库存,上架日期
P101,智能手机X1,电子产品,手机,4999,3500,华为科技,150,50,2023-01-15
P102,笔记本电脑Pro,电子产品,电脑,8999,6500,联想集团,80,30,2023-01-20
P103,平板电脑S2,电子产品,平板,3299,2200,小米科技,120,40,2023-02-01
P104,智能手表Ultra,电子产品,可穿戴,2999,1800,华为科技,200,60,2023-02-10
P105,显示器4K,电子产品,显示器,1899,1200,戴尔公司,180,50,2023-02-15
P106,无线耳机Pro,电子产品,音频,899,500,索尼电子,300,80,2023-03-01
P107,游戏鼠标RGB,电子产品,外设,399,200,罗技科技,350,100,2023-03-05
P108,机械键盘青轴,电子产品,外设,699,400,海盗船,250,70,2023-03-10
P109,投影仪商务,电子产品,投影,4599,3200,爱普生,60,20,2023-03-15
P110,智能音箱Mini,电子产品,智能家居,299,150,小米科技,400,120,2023-03-20
P111,路由器企业级,电子产品,网络设备,899,550,华为科技,200,60,2023-04-01
P112,网络摄像头HD,电子产品,外设,459,250,罗技科技,280,80,2023-04-05
P113,移动硬盘2TB,电子产品,存储,599,350,希捷科技,320,90,2023-04-10
P114,充电宝快充,电子产品,配件,199,80,小米科技,500,150,2023-04-15
P115,电脑支架铝合金,电子产品,配件,159,70,优品办公,380,100,2023-04-20
P116,蓝牙音箱便携,电子产品,音频,399,220,JBL音响,290,80,2023-04-25
P117,扫描仪高速,电子产品,办公设备,2899,1900,佳能公司,70,20,2023-05-01
P118,服务器机架,电子产品,服务器,15999,12000,戴尔公司,30,10,2023-05-05
P119,数位板绘画,电子产品,外设,1299,750,和冠科技,150,40,2023-05-10
P120,交换机24口,电子产品,网络设备,1599,1000,华为科技,100,30,2023-05-15
P121,麦克风USB,电子产品,音频,299,150,铁三角,260,70,2023-05-20
P122,UPS不间断电源,电子产品,电源,2199,1500,山特电子,90,25,2023-05-25
P123,电竞椅旋转,电子产品,家具,1899,1200,赛睿科技,110,30,2023-06-01
P124,会议话筒无线,电子产品,音频,3599,2400,舒尔音频,65,20,2023-06-05
P125,灯条RGB氛围,电子产品,配件,129,50,酷冷至尊,450,120,2023-06-10
P126,激光打印机,电子产品,办公设备,1899,1200,惠普公司,130,40,2023-06-15
P127,鼠标垫超大,电子产品,配件,79,30,雷蛇科技,520,150,2023-06-20
P128,绘图板专业,电子产品,外设,4599,3200,影拓科技,55,15,2023-06-25
P129,智能门锁指纹,电子产品,智能家居,1599,950,小米科技,140,40,2023-07-01
P201,办公椅豪华版,办公用品,家具,1299,800,震旦家具,200,60,2023-01-10
P202,办公桌标准版,办公用品,家具,2199,1500,美时家具,120,35,2023-01-15
P203,会议桌大型,办公用品,家具,5999,4200,冠美家具,40,15,2023-02-01
P204,文件柜四抽,办公用品,家具,1599,1000,兆生家具,150,45,2023-02-10
P205,升降桌电动,办公用品,家具,3299,2300,乐歌家具,80,25,2023-02-20
P206,沙发三人位,办公用品,家具,4599,3200,顾家家居,60,20,2023-03-01
P207,书架五层,办公用品,家具,899,550,宜家家居,180,50,2023-03-10
P208,办公椅网布,办公用品,家具,799,480,震旦家具,220,65,2023-03-20
P209,接待台前台,办公用品,家具,6999,5000,欧林家具,35,10,2023-04-01
P210,隔断屏风办公,办公用品,家具,1299,850,美时家具,100,30,2023-04-15
P301,打印纸A4,办公用品,耗材,89,45,得力集团,800,200,2023-01-05
P302,订书机套装,办公用品,耗材,45,20,晨光文具,650,180,2023-01-10
P303,文件夹套装,办公用品,耗材,78,38,齐心文具,720,200,2023-01-15
P304,笔记本套装,办公用品,耗材,56,25,真彩文具,850,250,2023-02-01
P305,胶带透明,办公用品,耗材,23,10,3M公司,950,280,2023-02-10
P306,白板笔套装,办公用品,耗材,45,20,晨光文具,780,220,2023-02-20
P307,订书钉盒装,办公用品,耗材,12,5,得力集团,1200,350,2023-03-01
P308,便签纸彩色,办公用品,耗材,34,15,齐心文具,890,260,2023-03-10
P309,回形针盒装,办公用品,耗材,8,3,晨光文具,1500,400,2023-03-20
P310,橡皮擦套装,办公用品,耗材,15,6,真彩文具,1100,320,2023-04-01
P311,剪刀办公,办公用品,耗材,18,8,得力集团,980,280,2023-04-10
